"call_number","unit_id","incident_number","call_type","call_date","watch_date","received_dttm","entry_dttm","dispatch_dttm","response_dttm","on_scene_dttm","transport_dttm","hospital_dttm","call_final_disposition","available_dttm","address","city","zipcode_of_incident","battalion","station_area","box","original_priority","priority","final_priority","als_unit","call_type_group","number_of_alarms","unit_type","unit_sequence_in_call_dispatch","fire_prevention_district","supervisor_district","neighborhoods_analysis_boundaries","rowid","case_location","data_as_of","data_loaded_at",":@computed_region_ajp5_b2md"
"050420373","B02","05011442","Alarms","2005-02-11T00:00:00.000","2005-02-11T00:00:00.000","2005-02-11T20:02:03.000","2005-02-11T20:02:49.000","2005-02-11T20:03:05.000","2005-02-11T20:03:16.000","2005-02-11T20:07:30.000",,,"Fire","2005-02-11T20:40:52.000","EDDY ST/LEAVENWORTH ST","SF","94102","B02","03","1545","3","3","3","false",,"1","CHIEF","2","2","6","Tenderloin","050420373-B02","POINT (-122.41424 37.783722)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050440236","E01","05011917","Alarms","2005-02-13T00:00:00.000","2005-02-13T00:00:00.000","2005-02-13T14:46:49.000","2005-02-13T14:51:59.000","2005-02-13T14:52:39.000","2005-02-13T14:53:49.000","2005-02-13T14:55:27.000",,,"Other",,"STEVENSON ST/05TH ST","SF","94103","B03","01","2212","3","3","3","true",,"1","ENGINE","1","3","6","South of Market","050440236-E01","POINT (-122.407486 37.783527)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"050440251","B03","05011929","Alarms","2005-02-13T00:00:00.000","2005-02-13T00:00:00.000","2005-02-13T15:44:50.000","2005-02-13T15:45:49.000","2005-02-13T15:47:59.000","2005-02-13T15:49:20.000",,,,"Other",,"MERCHANT ST/KEARNY ST","SF","94108","B01","13","1233","3","3","3","false",,"1","CHIEF","3","1","3","Chinatown","050440251-B03","POINT (-122.40488 37.79486)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"050450293","T03","05012216","Medical Incident","2005-02-14T00:00:00.000","2005-02-14T00:00:00.000","2005-02-14T17:52:13.000","2005-02-14T17:54:31.000","2005-02-14T17:54:53.000",,,,,"Other","2005-02-14T17:57:08.000","HYDE ST/TURK ST","SF","94102","B02","03","1554","3","3","3","false",,"1","TRUCK","4","2","6","Tenderloin","050450293-T03","POINT (-122.415695 37.782585)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050490291","B04","05013324","Alarms","2005-02-18T00:00:00.000","2005-02-18T00:00:00.000","2005-02-18T17:27:00.000","2005-02-18T17:27:09.000","2005-02-18T17:27:52.000","2005-02-18T17:29:06.000",,,,"Fire","2005-02-18T17:32:22.000","FILLMORE ST/ELLIS ST","SF","94115","B05","05","3536","3","3","3","false",,"1","CHIEF","3","5","5","Western Addition","050490291-B04","POINT (-122.43252 37.78235)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","39"
"050490319","E03","05013347","Alarms","2005-02-18T00:00:00.000","2005-02-18T00:00:00.000","2005-02-18T19:12:09.000","2005-02-18T19:13:35.000","2005-02-18T19:13:48.000",,"2005-02-18T19:14:04.000",,,"Other","2005-02-18T19:30:14.000","TRADER VIC ALY/COSMO PL","SF","94109","B01","03","1451","3","3","3","true",,"1","ENGINE","1","1","3","Nob Hill","050490319-E03","POINT (-122.41241 37.788086)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"050490358","E07","05013378","Medical Incident","2005-02-18T00:00:00.000","2005-02-18T00:00:00.000","2005-02-18T22:00:54.000","2005-02-18T22:01:34.000","2005-02-18T22:01:53.000",,,,,"Other","2005-02-18T22:10:38.000","23RD ST/MISSION ST","SF","94110","B06","11","5525","3","3","3","true",,"1","ENGINE","3","6","9","Mission","050490358-E07","POINT (-122.418594 37.753838)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"050550411","B03","05015004","Outside Fire","2005-02-24T00:00:00.000","2005-02-24T00:00:00.000","2005-02-24T22:28:35.000","2005-02-24T22:31:14.000","2005-02-24T22:31:58.000",,,,,"Other","2005-02-24T22:36:36.000","BRYANT ST/KATE ST","SF","94103","B03","29","2324","3","3","3","false",,"1","CHIEF","2","3","6","South of Market","050550411-B03","POINT (-122.40636 37.77301)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"050570039","M13","05015320","Medical Incident","2005-02-26T00:00:00.000","2005-02-25T00:00:00.000","2005-02-26T01:45:56.000","2005-02-26T01:47:08.000","2005-02-26T01:47:23.000",,,,,"Other","2005-02-26T01:48:34.000","VALLEJO ST/TURK MURPHY LN","SF","94133","B01","02","1333","2","2","2","true",,"1","MEDIC","2","1","3","Chinatown","050570039-M13","POINT (-122.40988 37.798443)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"050570380","E37","05015564","Alarms","2005-02-26T00:00:00.000","2005-02-26T00:00:00.000","2005-02-26T22:54:41.000","2005-02-26T22:56:14.000","2005-02-26T22:57:28.000","2005-02-26T22:59:31.000","2005-02-26T23:01:29.000",,,"Other","2005-02-26T23:38:12.000","17TH ST/DE HARO ST","SF","94107","B03","29","2413","3","3","3","false",,"1","ENGINE","1","2","10","Mission Bay","050570380-E37","POINT (-122.401596 37.76484)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","4"
"050580301","T08","05015782","Alarms","2005-02-27T00:00:00.000","2005-02-27T00:00:00.000","2005-02-27T19:08:06.000","2005-02-27T19:09:13.000","2005-02-27T19:09:41.000","2005-02-27T19:11:58.000",,,,"Other","2005-02-27T19:18:06.000","BERRY ST/05TH ST","SF","94158","B03","08","2225","3","3","3","false",,"1","TRUCK","3","3","6","Mission Bay","050580301-T08","POINT (-122.39558 37.774033)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","4"
"050590248","D2","05016000","Other","2005-02-28T00:00:00.000","2005-02-28T00:00:00.000","2005-02-28T15:50:05.000","2005-02-28T15:51:13.000","2005-02-28T15:51:48.000",,"2005-02-28T16:14:33.000",,,"Fire","2005-02-28T16:50:17.000","POLK ST/REDWOOD ST","SF","94102","B02","36","0381","3","3","3","false",,"1","CHIEF","5","2","6","Tenderloin","050590248-D2","POINT (-122.41871 37.780773)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050590331","E03","05016068","Alarms","2005-02-28T00:00:00.000","2005-02-28T00:00:00.000","2005-02-28T22:14:00.000","2005-02-28T22:14:52.000","2005-02-28T22:15:11.000","2005-02-28T22:16:35.000","2005-02-28T22:25:58.000",,,"Other","2005-02-28T22:26:30.000","POLK ST/SACRAMENTO ST","SF","94109","B04","41","3123","3","3","3","true",,"1","ENGINE","3","4","3","Nob Hill","050590331-E03","POINT (-122.420876 37.791496)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"050600290","M41","05016271","Medical Incident","2005-03-01T00:00:00.000","2005-03-01T00:00:00.000","2005-03-01T16:59:36.000","2005-03-01T17:02:14.000","2005-03-01T17:03:19.000",,,,,"Other","2005-03-01T17:05:31.000","POST ST/HYDE ST","SF","94109","B04","03","1543","1","1","2","true",,"1","MEDIC","2","4","3","Nob Hill","050600290-M41","POINT (-122.41664 37.787247)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"050600377","T02","05016327","Alarms","2005-03-01T00:00:00.000","2005-03-01T00:00:00.000","2005-03-01T21:05:55.000","2005-03-01T21:06:55.000","2005-03-01T21:07:03.000","2005-03-01T21:09:40.000","2005-03-01T21:13:09.000",,,"Other","2005-03-01T21:49:49.000","GREEN ST/JONES ST","SF","94133","B01","02","1441","3","3","3","true",,"1","TRUCK","3","1","3","Russian Hill","050600377-T02","POINT (-122.41557 37.79868)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"050650237","M08","05017612","Medical Incident","2005-03-06T00:00:00.000","2005-03-06T00:00:00.000","2005-03-06T14:03:17.000","2005-03-06T14:06:01.000","2005-03-06T14:06:30.000","2005-03-06T14:07:25.000",,,,"Other",,"GOLDEN GATE AVE/LEAVENWORTH ST","SF","94102","B02","01","1546","3","3","3","true",,"1","MEDIC","2","2","6","Tenderloin","050650237-M08","POINT (-122.413864 37.781864)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050660009","T08","05017759","Medical Incident","2005-03-07T00:00:00.000","2005-03-06T00:00:00.000","2005-03-07T01:20:54.000","2005-03-07T01:22:47.000","2005-03-07T01:22:57.000","2005-03-07T01:25:31.000",,,,"Other","2005-03-07T01:28:46.000","WELSH ST/05TH ST","SF","94107","B03","08","2242","3","3","3","false",,"1","TRUCK","2","3","6","South of Market","050660009-T08","POINT (-122.399765 37.77737)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"050690151","M18","05018625","Medical Incident","2005-03-10T00:00:00.000","2005-03-10T00:00:00.000","2005-03-10T11:03:56.000","2005-03-10T11:06:53.000","2005-03-10T11:07:40.000","2005-03-10T11:11:07.000",,,,"Other",,"FULTON ST/45TH AVE","SF","94121","B07","34","7272","1","1","2","true",,"1","MEDIC","2","7","1","Golden Gate Park","050690151-M18","POINT (-122.50561 37.77159)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","12"
"050690408","T51","05018812","Alarms","2005-03-10T00:00:00.000","2005-03-10T00:00:00.000","2005-03-10T20:49:03.000","2005-03-10T20:49:03.000","2005-03-10T20:49:03.000",,,,,"Other","2005-03-10T20:51:20.000","GIRARD RD/EDIE RD","PR","94129","B99","51","4612","3","3","3","true",,"1","TRUCK","2","7","2","Presidio","050690408-T51","POINT (-122.4529 37.801975)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","27"
"050700437","M03","05019118","Medical Incident","2005-03-11T00:00:00.000","2005-03-11T00:00:00.000","2005-03-11T21:24:54.000","2005-03-11T21:26:22.000","2005-03-11T21:27:03.000",,,,,"Other","2005-03-11T21:36:11.000","LEAVENWORTH ST/TURK ST","SF","94102","B03","01","1456","3","3","3","true",,"1","MEDIC","2","2","6","Tenderloin","050700437-M03","POINT (-122.414055 37.782795)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050710050","M10","05019201","Medical Incident","2005-03-12T00:00:00.000","2005-03-11T00:00:00.000","2005-03-12T03:24:18.000","2005-03-12T03:25:19.000","2005-03-12T03:25:26.000",,,,,"Other","2005-03-12T03:28:45.000","32ND AVE/MARVEL CT","SF","94121","B07","14","7246","3","3","3","false",,"1","MEDIC","3","7","1","Outer Richmond","050710050-M10","POINT (-122.49246 37.78291)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","29"
"050720119","M01","05019550","Medical Incident","2005-03-13T00:00:00.000","2005-03-13T00:00:00.000","2005-03-13T09:31:05.000","2005-03-13T09:33:24.000","2005-03-13T09:33:59.000",,,,,"Other","2005-03-13T09:36:14.000","ELLIS ST/JONES ST","SF","94102","B03","03","1461","3","3","3","true",,"1","MEDIC","3","2","6","Tenderloin","050720119-M01","POINT (-122.41278 37.784866)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050760246","E48","05020707","Other","2005-03-17T00:00:00.000","2005-03-17T00:00:00.000","2005-03-17T15:04:20.000","2005-03-17T15:04:21.000","2005-03-17T15:04:21.000",,,,,"Other","2005-03-17T15:33:54.000","AVENUE D/09TH TI ST","TI","94130","B03","48","2931","3","3","3","true",,"1","ENGINE","1","None","6","Treasure Island","050760246-E48","POINT (-122.37266 37.82412)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","37"
"050770012","M13","05020848","Medical Incident","2005-03-18T00:00:00.000","2005-03-17T00:00:00.000","2005-03-18T00:53:29.000","2005-03-18T00:54:14.000","2005-03-18T00:54:58.000",,,,,"Cancelled","2005-03-18T00:55:50.000","STOCKTON ST/BROADWAY","SF","94133","B01","02","1311","2","2","2","true",,"1","MEDIC","1","1","3","Chinatown","050770012-M13","POINT (-122.408615 37.797626)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"050770170","E33","05020946","Medical Incident","2005-03-18T00:00:00.000","2005-03-18T00:00:00.000","2005-03-18T11:59:10.000","2005-03-18T11:59:10.000","2005-03-18T11:59:10.000",,,,,"Other","2005-03-18T12:07:46.000","BRAZIL AVE/MISSION ST","SF","94112","B09","43","6117","3","3","3","true",,"1","ENGINE","2","9","11","Outer Mission","050770170-E33","POINT (-122.4348 37.72468)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","7"
"050770309","B06","05021034","Medical Incident","2005-03-18T00:00:00.000","2005-03-18T00:00:00.000","2005-03-18T17:50:55.000","2005-03-18T17:52:04.000","2005-03-18T17:52:14.000",,"2005-03-18T17:56:25.000",,,"Other","2005-03-18T17:58:09.000","ARLINGTON ST/ROANOKE ST","SF","94131","B06","26","8127","3","3","3","false",,"1","CHIEF","2","6","8","Glen Park","050770309-B06","POINT (-122.429695 37.735027)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","10"
"050780204","T02","05021246","Alarms","2005-03-19T00:00:00.000","2005-03-19T00:00:00.000","2005-03-19T14:17:45.000","2005-03-19T14:18:30.000","2005-03-19T14:19:02.000","2005-03-19T14:20:51.000",,,,"Other","2005-03-19T14:33:36.000","SACRAMENTO ST/JONES ST","SF","94108","B01","41","1465","3","3","3","false",,"1","TRUCK","3","1","3","Nob Hill","050780204-T02","POINT (-122.41429 37.792343)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"050790052","T14","05021418","Alarms","2005-03-20T00:00:00.000","2005-03-19T00:00:00.000","2005-03-20T07:17:58.000","2005-03-20T07:20:21.000","2005-03-20T07:20:32.000","2005-03-20T07:22:09.000",,,,"Other","2005-03-20T07:28:51.000","BALBOA ST/37TH AVE","SF","94121","B07","34","7254","3","3","3","false",,"1","TRUCK","3","7","1","Outer Richmond","050790052-T14","POINT (-122.49732 37.775715)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","29"
"050790181","B03","05021502","Alarms","2005-03-20T00:00:00.000","2005-03-20T00:00:00.000","2005-03-20T14:38:01.000","2005-03-20T14:38:54.000","2005-03-20T14:39:05.000","2005-03-20T14:39:40.000","2005-03-20T14:42:07.000",,,"Other","2005-03-20T14:53:19.000","06TH ST/TEHAMA ST","SF","94103","B03","01","2252","3","3","3","false",,"1","CHIEF","2","3","6","South of Market","050790181-B03","POINT (-122.40663 37.779316)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"050800264","B04","05021781","Medical Incident","2005-03-21T00:00:00.000","2005-03-21T00:00:00.000","2005-03-21T14:24:18.000","2005-03-21T14:26:07.000","2005-03-21T14:27:04.000",,"2005-03-21T14:34:50.000",,,"Other","2005-03-21T14:39:32.000","OCTAVIA ST/GREEN ST","SF","94123","B04","38","3246","3","3","3","false",,"1","CHIEF","3","4","2","Marina","050800264-B04","POINT (-122.42873 37.796993)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"050820168","T03","05022261","Medical Incident","2005-03-23T00:00:00.000","2005-03-23T00:00:00.000","2005-03-23T12:05:50.000","2005-03-23T12:08:11.000","2005-03-23T12:08:38.000","2005-03-23T12:10:13.000",,,,"Other",,"MCALLISTER ST/MARKET ST","SF","94102","B03","01","1455","3","3","3","false",,"1","TRUCK","2","3","6","Tenderloin","050820168-T03","POINT (-122.4117 37.781178)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050860017","E07","05023269","Medical Incident","2005-03-27T00:00:00.000","2005-03-26T00:00:00.000","2005-03-27T01:19:54.000","2005-03-27T01:21:21.000","2005-03-27T01:21:41.000",,"2005-03-27T01:24:43.000",,,"Other","2005-03-27T01:29:32.000","SYCAMORE ST/MISSION ST","SF","94110","B02","07","5423","3","3","3","true",,"1","ENGINE","1","2","9","Mission","050860017-E07","POINT (-122.41944 37.762714)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"050890349","B08","05024194","Medical Incident","2005-03-30T00:00:00.000","2005-03-30T00:00:00.000","2005-03-30T19:18:29.000","2005-03-30T19:22:06.000","2005-03-30T19:23:13.000",,"2005-03-30T19:29:54.000",,,"Other","2005-03-30T19:33:17.000","JUDAH ST/07TH AVE","SF","94122","B08","22","7332","3","3","3","false",,"1","CHIEF","3","8","5","Inner Sunset","050890349-B08","POINT (-122.46404 37.762268)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","14"
"050970086","E01","05026054","Outside Fire","2005-04-07T00:00:00.000","2005-04-07T00:00:00.000","2005-04-07T08:18:15.000","2005-04-07T08:19:12.000","2005-04-07T08:19:25.000","2005-04-07T08:20:05.000",,,,"Fire","2005-04-07T08:32:39.000","TAYLOR ST/EDDY ST","SF","94102","B03","01","1453","3","3","3","true",,"1","ENGINE","1","3","6","Tenderloin","050970086-E01","POINT (-122.41095 37.78414)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050970225","M03","05026124","Medical Incident","2005-04-07T00:00:00.000","2005-04-07T00:00:00.000","2005-04-07T14:46:57.000","2005-04-07T14:47:27.000","2005-04-07T14:47:45.000","2005-04-07T14:48:54.000",,,,"Other","2005-04-07T14:49:40.000","ELLIS ST/JONES ST","SF","94102","B03","03","1461","3","3","3","true",,"1","MEDIC","3","2","6","Tenderloin","050970225-M03","POINT (-122.41278 37.784866)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"050980224","T07","05026386","Alarms","2005-04-08T00:00:00.000","2005-04-08T00:00:00.000","2005-04-08T16:06:11.000","2005-04-08T16:07:08.000","2005-04-08T16:08:08.000","2005-04-08T16:09:46.000",,,,"Other","2005-04-08T16:13:47.000","ALAMEDA ST/RHODE ISLAND ST","SF","94103","B03","29","2326","3","3","3","false",,"1","TRUCK","3","2","10","Mission Bay","050980224-T07","POINT (-122.40292 37.768646)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","4"
"050980332","T03","05026462","Alarms","2005-04-08T00:00:00.000","2005-04-08T00:00:00.000","2005-04-08T22:03:46.000","2005-04-08T22:04:35.000","2005-04-08T22:04:52.000","2005-04-08T22:06:11.000",,,,"Other","2005-04-08T22:07:54.000","MINNA ST/09TH ST","SF","94103","B02","36","2336","3","3","3","false",,"1","TRUCK","3","2","6","South of Market","050980332-T03","POINT (-122.41418 37.7758)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"050980352","T19","05026482","Alarms","2005-04-08T00:00:00.000","2005-04-08T00:00:00.000","2005-04-08T23:48:07.000","2005-04-08T23:49:28.000","2005-04-08T23:51:12.000","2005-04-08T23:53:46.000","2005-04-08T23:57:51.000",,,"Other","2005-04-08T23:59:58.000","PINTO AVE/ARBALLO DR","SF","94132","B08","19","8582","3","3","3","false",,"1","TRUCK","2","8","7","Lakeshore","050980352-T19","POINT (-122.48302 37.72045)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","16"
"051010165","E08","05027117","Other","2005-04-11T00:00:00.000","2005-04-11T00:00:00.000","2005-04-11T11:00:42.000","2005-04-11T11:01:12.000","2005-04-11T11:01:46.000","2005-04-11T11:02:13.000","2005-04-11T11:05:25.000",,,"Fire","2005-04-11T11:19:54.000","04TH ST/WELSH ST","SF","94107","B03","08","2217","3","3","3","true",,"1","ENGINE","1","3","6","South of Market","051010165-E08","POINT (-122.39754 37.779133)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"051020040","E01","05027319","Alarms","2005-04-12T00:00:00.000","2005-04-11T00:00:00.000","2005-04-12T06:13:34.000","2005-04-12T06:14:54.000","2005-04-12T06:15:24.000","2005-04-12T06:17:15.000",,,,"Other","2005-04-12T06:33:11.000","SUTTER ST/POWELL ST","SF","94108","B01","01","1324","3","3","3","true",,"1","ENGINE","3","1","3","Nob Hill","051020040-E01","POINT (-122.40859 37.789227)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","8"
"051070217","M07","05028739","Medical Incident","2005-04-17T00:00:00.000","2005-04-17T00:00:00.000","2005-04-17T14:55:20.000","2005-04-17T14:57:49.000","2005-04-17T14:58:02.000",,,,,"Other","2005-04-17T15:00:16.000","35TH AVE/IRVING ST","SF","94122","B08","23","7564","2","2","2","true",,"1","MEDIC","2","8","4","Sunset/Parkside","051070217-M07","POINT (-122.49427 37.762806)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","35"
"051080170","M14","05028949","Medical Incident","2005-04-18T00:00:00.000","2005-04-18T00:00:00.000","2005-04-18T11:13:26.000","2005-04-18T11:14:02.000","2005-04-18T11:16:17.000","2005-04-18T11:30:01.000",,,,"Other",,"HOWARD ST/09TH ST","SF","94103","B02","36","2335","2","2","2","true",,"1","MEDIC","4","2","6","South of Market","051080170-M14","POINT (-122.41316 37.77499)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"051080313","T02","05029050","Alarms","2005-04-18T00:00:00.000","2005-04-18T00:00:00.000","2005-04-18T18:13:40.000","2005-04-18T18:16:12.000","2005-04-18T18:16:57.000","2005-04-18T18:17:18.000",,,,"Other","2005-04-18T18:23:03.000","GRANT AVE/GREEN ST","SF","94133","B01","28","1266","3","3","3","false",,"1","TRUCK","3","1","3","North Beach","051080313-T02","POINT (-122.407394 37.799706)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"051100014","E29","05029371","Medical Incident","2005-04-20T00:00:00.000","2005-04-19T00:00:00.000","2005-04-20T01:49:19.000","2005-04-20T01:51:09.000","2005-04-20T01:51:27.000","2005-04-20T01:53:09.000",,,,"Other","2005-04-20T01:55:00.000","WELSH ST/05TH ST","SF","94107","B03","08","2242","3","3","3","true",,"1","ENGINE","3","3","6","South of Market","051100014-E29","POINT (-122.399765 37.77737)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"051100314","T51","05029552","Alarms","2005-04-20T00:00:00.000","2005-04-20T00:00:00.000","2005-04-20T20:03:35.000","2005-04-20T20:03:35.000","2005-04-20T20:03:35.000",,"2005-04-20T20:21:02.000",,,"Other","2005-04-20T20:21:12.000","LAGUNA ST/NORTH POINT ST","FM","94123","B99","51","3343","3","3","3","true",,"1","TRUCK","2","4","2","Marina","051100314-T51","POINT (-122.43188 37.804245)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"051110268","T07","05029755","Alarms","2005-04-21T00:00:00.000","2005-04-21T00:00:00.000","2005-04-21T16:10:17.000","2005-04-21T16:12:14.000","2005-04-21T16:12:21.000","2005-04-21T16:14:04.000",,,,"Other","2005-04-21T16:20:33.000","18TH ST/GUERRERO ST","SF","94110","B02","07","5422","3","3","3","false",,"1","TRUCK","3","2","8","Mission","051110268-T07","POINT (-122.4238 37.761566)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"051130338","T01","05030372","Alarms","2005-04-23T00:00:00.000","2005-04-23T00:00:00.000","2005-04-23T22:22:32.000","2005-04-23T22:23:46.000","2005-04-23T22:24:05.000","2005-04-23T22:25:46.000","2005-04-23T22:28:45.000",,,"Other","2005-04-23T23:23:41.000","ELWOOD ST/MASON ST","SF","94102","B01","03","1411","3","3","3","false",,"1","TRUCK","3","1","3","Tenderloin","051130338-T01","POINT (-122.409775 37.78666)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"051140104","M08","05030478","Medical Incident","2005-04-24T00:00:00.000","2005-04-23T00:00:00.000","2005-04-24T07:32:51.000","2005-04-24T07:36:10.000","2005-04-24T07:36:25.000",,,,,"Other",,"TANDANG SORA/RIZAL ST","SF","94107","B03","08","2216","2","2","2","true",,"1","MEDIC","2","3","6","South of Market","051140104-M08","POINT (-122.3998 37.781498)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"051150097","E06","05030735","Other","2005-04-25T00:00:00.000","2005-04-25T00:00:00.000","2005-04-25T09:06:15.000","2005-04-25T09:06:15.000","2005-04-25T09:06:15.000",,,,,"Other","2005-04-25T09:24:23.000","HENRY ST/SANCHEZ ST","SF","94114","B05","06","5131","3","3","3","false",,"1","ENGINE","2","5","8","Castro/Upper Market","051150097-E06","POINT (-122.431114 37.766796)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","5"
"051170266","E08","05031305","Medical Incident","2005-04-27T00:00:00.000","2005-04-27T00:00:00.000","2005-04-27T15:54:04.000","2005-04-27T15:55:25.000","2005-04-27T15:55:54.000",,,,,"Other",,"02ND ST/TOWNSEND ST","SF","94107","B03","08","2154","3","3","3","true",,"1","ENGINE","4","3","6","Mission Bay","051170266-E08","POINT (-122.390526 37.780605)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","4"
"051170336","E32","05031361","Other","2005-04-27T00:00:00.000","2005-04-27T00:00:00.000","2005-04-27T20:27:14.000","2005-04-27T20:28:06.000","2005-04-27T20:28:33.000","2005-04-27T20:29:24.000","2005-04-27T20:32:04.000",,,"Fire","2005-04-27T21:20:00.000","MISSION ST/COTTER ST","SF","94112","B09","32","6113","3","3","3","false",,"1","ENGINE","1","9","11","Excelsior","051170336-E32","POINT (-122.432915 37.727177)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","28"
"051190364","M36","05031890","Medical Incident","2005-04-29T00:00:00.000","2005-04-29T00:00:00.000","2005-04-29T21:40:07.000","2005-04-29T21:45:33.000","2005-04-29T21:46:01.000",,,,,"Other","2005-04-29T21:47:48.000","MCALLISTER ST/BREEN PL","SF","94102","B02","36","1645","3","3","3","true",,"1","MEDIC","3","2","6","Tenderloin","051190364-M36","POINT (-122.41614 37.780617)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"051210292","B01","05032406","Alarms","2005-05-01T00:00:00.000","2005-05-01T00:00:00.000","2005-05-01T21:14:37.000","2005-05-01T21:16:28.000","2005-05-01T21:17:14.000","2005-05-01T21:18:40.000","2005-05-01T21:22:22.000",,,"Fire","2005-05-01T21:25:41.000","PINE ST/JONES ST","SF","94109","B01","41","1464","3","3","3","false",,"1","CHIEF","3","1","3","Nob Hill","051210292-B01","POINT (-122.41392 37.790462)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"051220025","E36","05032453","Medical Incident","2005-05-02T00:00:00.000","2005-05-01T00:00:00.000","2005-05-02T03:42:45.000","2005-05-02T03:43:12.000","2005-05-02T03:44:06.000",,,,,"Other","2005-05-02T03:45:37.000","SANCHEZ ST/MARKET ST","SF","94114","B02","06","5213","3","3","3","true",,"1","ENGINE","3","5","8","Castro/Upper Market","051220025-E36","POINT (-122.43102 37.76587)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","5"
"051240270","E09","05033161","Medical Incident","2005-05-04T00:00:00.000","2005-05-04T00:00:00.000","2005-05-04T14:31:44.000","2005-05-04T14:34:36.000","2005-05-04T14:35:31.000",,,,,"Other","2005-05-04T14:37:43.000","22ND ST/MISSION ST","SF","94110","B06","07","5472","3","3","3","true",,"1","ENGINE","3","6","9","Mission","051240270-E09","POINT (-122.41875 37.755436)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"051240429","E03","05033280","Alarms","2005-05-04T00:00:00.000","2005-05-04T00:00:00.000","2005-05-04T23:38:30.000","2005-05-04T23:39:54.000","2005-05-04T23:40:06.000",,"2005-05-04T23:41:28.000",,,"Fire","2005-05-04T23:51:44.000","VAN NESS AVE/CEDAR ST","SF","94109","B04","03","3161","3","3","3","false",,"1","ENGINE","1","4","5","Western Addition","051240429-E03","POINT (-122.42137 37.786167)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
